id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
1,101,0.05748428,0.04612215,3586.48779652,0.05291894,1562719666,0.05290836,0.05309033,105,230,0.04693139
2,179,0.00328,0.00315,25219.95751589,0.0031968,1562719666,0.00319152,0.0032199,85,189,0.0031896
3,155,0.00043955,0.00042449,749.41486793,0.00043242,1562719666,0.00043003,0.00043791,24,142,0.00043614
4,178,0.00011245,0.0001063,1392577.59656791,0.00011036,1562719666,0.00011,0.00011005,174,501,0.00010955
5,280,2.465,2.26406471,71.62954408,2.42231761,1562719666,2.37344755,2.46499999,28,19,2.29854285
6,146,0.0000908,0.0000878,893213.86365918,0.00008972,1562719666,0.0000894,0.00008965,86,151,0.0000908
7,170,0.00213,0.00197001,4287.38043905,0.00213,1562719666,0.00209927,0.00216738,58,98,0.00207
8,182,0.000575,0.00056217,1889.9556121,0.00056378,1562719666,0.00054851,0.00059,26,97,0.000575
9,149,0.01953826,0.01895855,794.71295582,0.0194,1562719666,0.01919387,0.01942346,106,192,0.01942346
10,144,0.00232161,0.00232161,323.80427266,0.00232161,1562719666,0.00226625,0.00246918,36,76,0.00232161
11,133,0.07659083,0.07245271,293.80068858,0.07592423,1562719666,0.07581725,0.07619729,56,114,0.07659083
12,157,0.00023687,0.00022479,99638.64842565,0.000232,1562719666,0.000231,0.00023321,163,350,0.0002321
13,183,0.00026605,0.00025758,76698.86570398,0.00026131,1562719666,0.00026122,0.00026584,45,281,0.000262
14,212,0.00000267,0.00000256,11057191.72492109,0.00000262,1562719666,0.0000026,0.00000262,19,180,0.00000267
15,73,0.00033674,0.00032431,245062.47199104,0.00032653,1562719666,0.0003252,0.00032622,207,729,0.00033674
16,152,0.0006745,0.00061816,31878.77700067,0.00062497,1562719666,0.00062263,0.00063526,32,401,0.0006745
17,248,0,0,0,0,1562719666,0.0000285,0.00003518,23,47,0
18,265,0.00119674,0.00113119,5582.39706096,0.00119674,1562719666,0.00117677,0.00119674,32,62,0.00113896
19,95,0.00265,0.00257,1634.79796448,0.00258,1562719666,0.00257,0.00263999,195,552,0.00263
20,167,0.0001485,0.0001182,199252.36854559,0.00014066,1562719666,0.00013103,0.00014844,25,38,0.00011854
21,281,0.0033247,0.00314974,1677.75520742,0.00316938,1562719666,0.00304946,0.00332468,16,3,0.00316639
22,2,0.39490837,0.38286464,1114.30507821,0.38286464,1562719666,0.38220601,0.3828581,337,375,0.39335841
23,174,0.00024508,0.00022218,420785.0622603,0.00022474,1562719666,0.00022454,0.00022548,52,274,0.000244
24,48,0.00129875,0.00126597,495628.58611711,0.00126874,1562719666,0.00126707,0.00127014,196,1123,0.00129875
25,171,0.00005826,0.00005455,7786.68965993,0.00005624,1562719666,0.00005624,0.00005858,43,172,0.00005826
26,159,0.01591413,0.01531407,1808.79220949,0.01550941,1562719666,0.0154,0.01548536,241,243,0.01583811
27,225,0.00114095,0.00101734,129833.49129992,0.00103902,1562719666,0.00103665,0.00104281,62,119,0.00101734
28,25,0.331,0.32085093,158.89846239,0.3221185,1562719666,0.32230851,0.32280015,169,358,0.32631679
29,266,0.016986,0.016,2424.33178095,0.01621428,1562719666,0.01578481,0.01630492,20,84,0.016343
30,140,0.00096886,0.0009294,104487.20972066,0.00095762,1562719666,0.00095458,0.00095762,135,453,0.00095634
31,90,0.00613,0.00581073,12429.07154331,0.00590651,1562719666,0.00585808,0.00594753,107,410,0.00603907
32,105,0.057,0.0554,1706.66756022,0.0558,1562719666,0.0557,0.05572219,546,606,0.05596978
33,9,0.51469952,0.49993916,172.02010386,0.50399426,1562719666,0.50181803,0.5048742,106,504,0.51469952
34,38,0.00004396,0.00003953,1812383.11710461,0.0000431,1562719666,0.00004298,0.0000431,149,441,0.00004089
35,160,1.35852741,1.3341774,212.9987733,1.34070496,1562719666,1.34,1.34301296,265,409,1.34061457
36,94,0.02581801,0.025,4080.54402781,0.02536464,1562719666,0.02532802,0.02536447,136,591,0.02548096
37,162,0.00025699,0.00024972,2060858.07425782,0.00024996,1562719666,0.00024938,0.00024994,290,1130,0.00025639
38,126,0.00030001,0.00028813,113281.03202916,0.00029523,1562719666,0.00028931,0.00029206,78,400,0.00030001
39,190,0.00000722,0.00000695,112426.75422935,0.00000712,1562719666,0.0000071,0.00000722,32,196,0.00000697
40,221,0.67709244,0.649,139.66181395,0.66653092,1562719666,0.65932484,0.66558894,130,184,0.658
41,106,0.33842722,0.32210511,268.23972868,0.32496372,1562719666,0.32326824,0.32452264,198,385,0.33802162
42,137,0.0026,0.00233,5102.46401882,0.0026,1562719666,0.0025201,0.00265001,96,114,0.0024
43,173,0.00007298,0.00006989,3084.13646832,0.00007298,1562719666,0.00006989,0.00007885,17,241,0.0000726
44,156,0.00812266,0.00785796,7865.70537342,0.00794467,1562719667,0.0079,0.0079664,87,258,0.00812266
45,163,0.0001785,0.00016258,245526.37242652,0.00016997,1562719667,0.000169,0.00016992,84,244,0.00016258
46,60,0.00029832,0.00028482,171774.23893263,0.0002903,1562719667,0.00028491,0.00029173,122,298,0.00029832
47,139,0.00001104,0.00001035,22741709.51249488,0.0000108,1562719667,0.00001078,0.00001088,91,673,0.00001035
48,287,0.0193,0.0189,291.17842817,0.019,1562719667,0.0189,0.01897291,86,16,0.0189
49,169,0.00034252,0.000328,9262.45122862,0.00033591,1562719667,0.000333,0.0003349,95,250,0.00034252
50,186,0.00001009,0.00000901,873428.07909231,0.00000921,1562719667,0.00000943,0.00000998,35,102,0.00000913
51,175,0.00096482,0.0009189,8988.88109899,0.00093459,1562719667,0.00092454,0.00093602,52,634,0.000926
52,273,0.00002117,0.00002016,15445.54375004,0.00002117,1562719667,0.0000205,0.00002435,9,14,0.00002016
53,101,0.05748428,0.04612215,3591.32213373,0.05287177,1562719809,0.05259808,0.05289687,106,231,0.04693139
54,179,0.00328,0.00315,25219.95751589,0.0031968,1562719809,0.00319152,0.00321935,85,189,0.0031896
55,155,0.00043955,0.00042449,749.41486793,0.00043242,1562719809,0.00042694,0.00043751,22,143,0.00043614
56,178,0.00011245,0.0001063,1394457.12816787,0.00011,1562719809,0.00010973,0.00011021,175,501,0.00010955
57,280,2.465,2.26406471,71.62954408,2.42231761,1562719809,2.37344864,2.46499999,29,19,2.29854285
58,146,0.0000908,0.0000878,893213.86365918,0.00008972,1562719809,0.0000894,0.00008965,87,150,0.0000908
59,170,0.00213,0.00197001,4287.38043905,0.00213,1562719810,0.00209581,0.0021714,55,97,0.00207
60,182,0.000575,0.00056217,1889.9556121,0.00056378,1562719810,0.00054866,0.00059,24,97,0.000575
61,149,0.01953826,0.01895855,794.71295582,0.0194,1562719810,0.01919387,0.01942346,105,192,0.01942346
62,144,0.00232161,0.00232161,323.80427266,0.00232161,1562719810,0.00228197,0.00246898,36,78,0.00232161
63,133,0.07659083,0.07245271,293.80068858,0.07592423,1562719810,0.07581725,0.07619729,58,114,0.07659083
64,157,0.00023687,0.00022479,99638.64842565,0.000232,1562719810,0.000231,0.00023321,159,351,0.0002321
65,183,0.00026605,0.00025758,76698.86570398,0.00026131,1562719810,0.00026122,0.00026584,42,281,0.000262
66,212,0.00000267,0.00000256,11057191.72492109,0.00000262,1562719810,0.0000026,0.00000262,19,180,0.00000267
67,73,0.00033674,0.00032431,245062.47199104,0.00032653,1562719810,0.000325,0.00032615,210,734,0.00033674
68,152,0.0006745,0.00061816,31878.77700067,0.00062497,1562719810,0.00062123,0.00063639,29,402,0.0006745
69,248,0,0,0,0,1562719810,0.00002859,0.0000308,23,48,0
70,265,0.00119674,0.00113119,5582.39706096,0.00119674,1562719810,0.0011768,0.00119674,29,62,0.00113896
71,95,0.00265,0.00257,1634.79796448,0.00258,1562719810,0.00257,0.00263999,196,552,0.00263
72,167,0.0001485,0.0001182,199252.36854559,0.00014066,1562719810,0.00012635,0.00014844,19,38,0.00011854
73,281,0.0033247,0.00314974,1677.75520742,0.00316938,1562719810,0.00301407,0.00332468,17,3,0.00316639
74,2,0.39490837,0.38220604,1114.34507821,0.38220604,1562719810,0.38211543,0.38285807,338,377,0.39335841
75,174,0.00024508,0.00022218,420785.0622603,0.00022474,1562719810,0.00022454,0.00022523,50,275,0.000244
