id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
1,112,1.66699,1.472,9544.57970885,1.522,1562719669,1.51899,1.52999,145,124,1.51
2,179,1.00098,0.996,28597.62417696,0.99701,1562719669,0.999,1.00098,47,36,1
3,238,0.01799,0.01533,237952.18729116,0.0167,1562719669,0.01651,0.01767,53,288,0.01734
4,1,12882.439,12113.347,1546.68806239,12840,1562719669,12852.997,12852.999,3872,1545,12274.003
5,2,124.238,118,4274.40087444,119.579,1562719669,119.521,119.851,479,866,122.86
6,178,0.035,0.03364,6261627.48229469,0.03445,1562719669,0.0344,0.03458,234,309,0.0342
7,226,1,0.99,1134.75805384,1,1562719669,0.99,0.99999,46,26,0.996
8,160,428,410.112,614.82052981,420.777,1562719669,418.574,419.729,187,225,416.443
9,106,106.965,98.552,552.39928588,99.594,1562719669,100.442,101.48,157,224,105.733
10,94,8.128,7.76701,7221.88666922,7.918,1562719669,7.90501,7.914,143,341,7.99953
11,38,0.01355,0.0124,1562138.43749598,0.01343,1562719670,0.01331,0.01347,137,431,0.0127
12,162,0.08079,0.07717,1861315.11792904,0.07777,1562719670,0.07782,0.0786,247,710,0.08
13,140,0.302,0.29,147406.03683496,0.299,1562719670,0.29701,0.299,85,258,0.298
14,48,0.40662,0.39004,588393.00381252,0.39673,1562719670,0.39673,0.397,441,1553,0.40401
15,138,9.987,9.0612,3037.98378027,9.0612,1562719670,9.21001,9.38299,92,206,9.537
16,139,0.00344,0.00311,9905731.16553996,0.00331,1562719670,0.00328,0.00349,151,252,0.00312
17,71,1.00857,0.99916,330571.81176088,1.002,1562719670,1.002,1.00356,264,178,1.00499
18,221,214,200.69,823.45152144,206.191,1562719670,205.582,206.837,213,193,200.69
19,208,0.01661,0.0165,23534.38535536,0.01661,1562719670,0.016,0.01799,31,75,0.0165
20,215,1.005,0.998,24062.07138084,0.998,1562719670,0.99801,1.00609,66,23,0.999
21,67,318.021,303.307,3929.38136467,312,1562719670,312.052,312.086,975,757,311.582
22,175,0.29453,0.287,11517.40493608,0.29225,1562719670,0.28961,0.29236,50,80,0.293
